Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
,21726,COSC,105,0,OA1,3,Computing & Social Responsibil,,TBA,30,28,2,0,0,0,0,0,0,Zenia Christine Bahorski (P),01/10-04/29,ONLINE,Gen Ed Global Awareness
C,21700,COSC,111,0,M1,3,Intro to Programming,MW,11:00 am-12:50 pm,30,30,0,0,0,0,0,0,0,Andrii Kashliev (P),01/10-04/29,PRAY-H 514,
C,21702,COSC,111,10,M1,3,Intro to Programming,TR,11:00 am-12:50 pm,30,30,0,0,0,0,0,0,0,Zakaria M Al-Qudah (P),01/10-04/29,PRAY-H 520,
,21714,COSC,111,11,M1,3,Intro to Programming,TR,05:30 pm-07:10 pm,30,13,17,0,0,0,0,0,0,Aby Tehranipour (P),01/10-04/29,PRAY-H 520,
,21725,COSC,112,12,OA1,1,Intro to Programmng Online Lab,,TBA,120,75,45,0,0,0,0,0,0,Augustine Ikeji (P),01/10-04/29,ONLINE,
,21705,COSC,146,0,M1,3,Applied Programming&Scripting,MW,01:00 pm-02:50 pm,30,20,10,0,0,0,0,0,0,Philip Lynn Francis III (P),01/10-04/29,PRAY-H 520,
C,21699,COSC,211,0,M1,3,Programming Data Structures,MW,05:30 pm-07:10 pm,30,30,0,10,0,10,0,0,0,George S Cowan (P),01/10-04/29,PRAY-H 520,
C,21719,COSC,211,10,M1,3,Programming Data Structures,TR,09:00 am-10:50 am,30,30,0,10,0,10,0,0,0,Aby Tehranipour (P),01/10-04/29,PRAY-H 520,
,22141,COSC,212,0,OA1,1,Prgmng Data Struct Online Lab,,TBA,90,59,31,0,0,0,0,0,0,Augustine Ikeji (P),01/10-04/29,ONLINE,
,21704,COSC,221,0,M1,3,Computer Organization I,MW,09:00 am-10:50 am,30,27,3,0,0,0,0,0,0,Zakaria M Al-Qudah (P),01/10-04/29,PRAY-H 520,
C,25381,COSC,221,11,M1,3,Computer Organization I,TR,11:00 am-12:50 pm,30,30,0,10,2,8,0,0,0,Elsa Poh (P),01/10-04/29,PRAY-H 503,
